t,vm
0,0.000
1.500,0.000
2.055,0.100
2.088,0.200
2.113,0.300
2.203,0.398
2.224,0.498
2.276,0.597
2.299,0.696
2.456,0.790
2.464,0.890
2.566,0.986
2.598,1.084
2.679,1.180
2.716,1.277
2.772,1.374
2.836,1.469
2.880,1.566
2.918,1.663
2.989,1.757
2.995,1.857
3.027,1.954
3.037,2.053
3.104,2.146
3.116,2.245
3.124,2.344
3.143,2.442
3.151,2.541
3.164,2.639
3.188,2.736
3.305,2.820
3.335,2.916
3.382,3.009
3.498,3.091
3.504,3.191
3.679,3.263
3.732,3.354
3.741,3.453
3.763,3.549
3.833,3.636
3.879,3.728
3.899,3.824
3.901,3.924
3.951,4.014
4.111,4.082
4.164,4.171
4.214,4.261
4.482,4.304
4.526,4.395
4.553,4.489
4.585,4.582
4.634,4.670
4.654,4.766
4.710,4.852
4.729,4.948
4.805,5.029
4.954,5.092
5.009,5.178
5.009,5.278
5.058,5.365
5.114,5.450
5.293,5.501
5.398,5.572
5.434,5.663
5.436,5.762
5.466,5.853
5.467,5.953
5.497,6.044
5.691,6.086
5.713,6.179
5.746,6.269
5.804,6.350
5.911,6.417
6.036,6.477
6.048,6.573
6.090,6.659
6.190,6.726
6.225,6.814
6.350,6.872
6.477,6.928
6.481,7.027
6.497,7.121
6.498,7.221
6.590,7.288
6.642,7.369
6.734,7.435
6.750,7.529
6.775,7.620
6.815,7.704
6.824,7.801
6.847,7.892
6.855,7.989
6.898,8.072
6.958,8.147
6.975,8.240
7.004,8.329
7.074,8.399
7.100,8.489
7.213,8.541
7.264,8.619
7.375,8.671
7.432,8.747
7.462,8.834
7.654,8.849
7.660,8.946
7.733,9.014
7.759,9.102
7.815,9.176
7.830,9.270
7.849,9.361
8.017,9.383
8.061,9.462
8.115,9.536
8.153,9.618
8.166,9.712
8.191,9.800
8.240,9.876
8.272,9.960
8.304,10.045
8.367,10.113
8.384,10.204
8.408,10.292
8.477,10.357
8.582,10.402
8.588,10.499
8.593,10.597
8.614,10.685
8.655,10.764
8.656,10.863
8.830,10.869
8.849,10.958
8.862,11.052
8.869,11.147
8.874,11.245
9.081,11.229
